positionx,positiony,positionz,velocityx,velocityy,velocityz
75707.29096391756,30287.869066470623,14719.515059062047,-51.313047526442574,-20.938738794969197,0.7715635559609042
75703.18592011544,30286.193967367024,14719.576784146524,-51.313047526442574,-20.938738794969197,0.7715635559609042
75699.08087631332,30284.518868263425,14719.638509231001,-50.23170508696308,-20.79587998077648,0.6115635559609042
75695.06233990636,30282.855197864963,14719.687434315478,-48.939985528133285,-20.945763573533654,0.49941910092632785
75691.14714106411,30281.17953677908,14719.727387843552,-48.069759313126674,-21.193142227683932,0.24997734373438796
75687.30156031906,30279.484085400865,14719.747386031051,-46.40586807849067,-21.151153327998177,0.016793664977317296
75683.58909087277,30277.791993134626,14719.74872952425,-44.86509560839155,-21.20524226891018,-0.373245925585848
75679.9998832241,30276.095573753115,14719.718869850203,-43.32724277026959,-21.05493431364874,-0.8625809577840134
75676.53370380247,30274.411179008024,14719.649863373581,-42.59556370610441,-20.990071958007054,-1.3941173213476608
75673.12605870598,30272.731973251382,14719.538333987874,-41.56383318226288,-20.737952080556244,-2.056886666375064
75669.8009520514,30271.072937084937,14719.373783054563,-40.78322076940565,-20.650735368302556,-2.5748397687420033
75666.53829438984,30269.420878255474,14719.167795873063,-40.41335252573884,-20.708140393023413,-3.1980363132296583
75663.30522618779,30267.764227024032,14718.911952968005,-39.23613363903822,-20.809831569963162,-3.9700832664931367
75660.16633549667,30266.099440498434,14718.594346306685,-39.08990030828466,-20.776988532942347,-4.601294492241234
75657.03914347201,30264.437281415798,14718.226242747305,-38.57247403651537,-20.821300989905346,-5.338740095317947
75653.95334554909,30262.771577336607,14717.79914353968,-36.930258885481436,-21.19909408348964,-6.066284776722747
75650.99892483825,30261.07564980993,14717.313840757542,-36.89599583174845,-21.202324593950788,-6.932921510957604
75648.0472451717,30259.37946384241,14716.759207036666,-36.00400873454051,-21.556670813750024,-7.822829488948763
75645.16692447294,30257.654930177312,14716.133380677551,-35.275245882783295,-21.998954374076853,-8.647488302752226
75642.34490480232,30255.895013827387,14715.441581613331,-33.457712163790816,-23.25121852854512,-9.478491898522389
75639.66828782922,30254.034916345103,14714.68330226145,-31.998908238272,-24.38897988894388,-10.173390884751061
75637.10837517015,30252.083797953987,14713.86943099067,-30.857738923912716,-25.997065588999483,-10.947038719956861
