positionx,positiony,positionz,velocityx,velocityy,velocityz
22533.976107114227,-4291.9484988341865,15794.48874727171,-49.68731702759874,-87.88098739199589,0.7433355726016979
22530.00112175202,-4298.978977825546,15794.548214117518,-49.68731702759874,-87.88098739199589,0.7433355726016979
22526.02613638981,-4306.009456816906,15794.607680963327,-50.67451939672062,-89.62703294535028,0.5833355726016979
22521.972174838073,-4313.179619452534,15794.654347809135,-51.469682151989176,-91.03342178360303,0.5030136237530121
22517.854600265913,-4320.462293195223,15794.694588899036,-52.1318027540196,-92.20450156331214,0.5020862680756543
22513.684056045593,-4327.838653320287,15794.734755800482,-52.45277623598725,-92.77220109328064,0.45600335896379995
22509.487833946714,-4335.26042940775,15794.771236069198,-53.251873289733894,-94.18554844842728,0.45016675793770833
22505.227684083537,-4342.795273283624,15794.807249409834,-53.547041701263204,-94.70760705420217,0.3865235569833074
22500.943920747435,-4350.37188184796,15794.838171294392,-53.844220202855446,-95.23322086702072,0.27538433294916975
22496.63638313121,-4357.990539517322,15794.860202041027,-54.747810361012725,-96.83138313552163,0.1266240436871706
22492.256558302328,-4365.7370501681635,15794.870331964523,-54.9555861887779,-97.19887218489113,-0.17073688359004732
22487.860111407226,-4373.512959942955,15794.856673013835,-55.206046868805394,-97.64185709895806,-0.3169945285762113
22483.44362765772,-4381.324308510872,15794.83131345155,-56.14936342086477,-99.31028266462393,-0.44639759898768505
22478.951678584053,-4389.269131124041,15794.795601643631,-56.789126617896656,-100.44181933868087,-0.6346071600422252
22474.408548454623,-4397.3044766711355,15794.744833070828,-57.422974068602905,-101.5628929477273,-0.8638676097426151
22469.814710529135,-4405.429508106954,15794.675723662049,-58.403695267023586,-103.29747538101907,-1.1849837660351665
22465.142414907772,-4413.693306137436,15794.580924960766,-59.10513233086611,-104.53809341901021,-1.4360312858834607
22460.4140043213,-4422.056353610957,15794.466042457896,-59.61925330121926,-105.44740914013215,-1.6151280305651199
22455.644464057204,-4430.492146342167,15794.336832215451,-60.71246935769174,-107.38095903219458,-1.75742781009942
22450.787466508587,-4439.082623064743,15794.196237990644,-61.39217632236329,-108.58314346810151,-1.9460574660963592
22445.8760924028,-4447.769274542191,15794.040553393355,-61.73998465547283,-109.19830527528569,-2.0175766821372956
22440.93689363036,-4456.505138964214,15793.879147258784,-62.732787485601186,-110.9542562546631,-2.237049227171867
22435.918270631515,-4465.381479464587,15793.70018332061,-63.41446881103399,-112.15993270389549,-2.594400569293967
22430.845113126634,-4474.354274080899,15793.492631275067,-63.56883214024072,-112.43295211004029,-3.063983489750718
22425.759606555413,-4483.348910249702,15793.247512595886,-64.39291351487128,-113.89048874567027,-3.601898592620822
22420.608173474222,-4492.460149349356,15792.959360708477,-64.88895968671723,-114.76783592361565,-4.10293396386892
